# Version 1.00
#
freq[Hz];re:Trc2_S12;im:Trc2_S12;re:Trc3_S12;im:Trc3_S12;
1.815000000000000E+09;3.211898134614571E-01;-5.589597798216170E-01;3.211898134614571E-01;-5.589597798216170E-01;
1.827250000000000E+09;2.929369421101614E-01;-5.734085833738413E-01;2.929369421101614E-01;-5.734085833738413E-01;
1.839500000000000E+09;2.651609717230882E-01;-5.862839779800563E-01;2.651609717230882E-01;-5.862839779800563E-01;
1.851750000000000E+09;2.378033945561293E-01;-5.983794178587712E-01;2.378033945561293E-01;-5.983794178587712E-01;
1.864000000000000E+09;2.100790577039066E-01;-6.100678145259422E-01;2.100790577039066E-01;-6.100678145259422E-01;
1.876250000000000E+09;1.813533607981166E-01;-6.215751135870272E-01;1.813533607981166E-01;-6.215751135870272E-01;
1.888500000000000E+09;1.507348230881267E-01;-6.320966131383963E-01;1.507348230881267E-01;-6.320966131383963E-01;
1.900750000000000E+09;1.186900532413798E-01;-6.405350055124478E-01;1.186900532413798E-01;-6.405350055124478E-01;
1.913000000000000E+09;8.592290088594735E-02;-6.459835535762002E-01;8.592290088594735E-02;-6.459835535762002E-01;
1.925250000000000E+09;5.350251807909059E-02;-6.489323416125017E-01;5.350251807909059E-02;-6.489323416125017E-01;
1.937500000000000E+09;2.207003921859543E-02;-6.499003161021478E-01;2.207003921859543E-02;-6.499003161021478E-01;
1.949750000000000E+09;-8.200846042944892E-03;-6.498370127554879E-01;-8.200846042944892E-03;-6.498370127554879E-01;
1.962000000000000E+09;-3.814712917567608E-02;-6.497928364204804E-01;-3.814712917567608E-02;-6.497928364204804E-01;
1.974250000000000E+09;-6.869282076281803E-02;-6.495726530847384E-01;-6.869282076281803E-02;-6.495726530847384E-01;
1.986500000000000E+09;-1.007492364688855E-01;-6.481349899442115E-01;-1.007492364688855E-01;-6.481349899442115E-01;
1.998750000000000E+09;-1.338660522929774E-01;-6.443767124573516E-01;-1.338660522929774E-01;-6.443767124573516E-01;
2.011000000000000E+09;-1.674636423296239E-01;-6.375760482689107E-01;-1.674636423296239E-01;-6.375760482689107E-01;
